,title,ingredients,directions,link,source,NER
966198,Raspberry Almond Buttermilk Cake,"[""1 cup all-purpose flour"", ""1/2 teaspoon baking powder"", ""1/2 teaspoon baking soda"", ""1/4 teaspoon salt"", ""4 tablespoons butter, softened"", ""2/3 cup sugar"", ""1/2 teaspoon pure vanilla extract"", ""1/2 teaspoon almond extract"", ""1/2 teaspoon lemon zest, finely grated"", ""1 large egg"", ""1/2 cup buttermilk, well-shaken"", ""1 cup fresh raspberry"", ""1 1/2 tablespoons sugar"", ""1/4 cup sliced almonds""]","[""Preheat oven to 400\u00b0F with rack in middle. Butter and flour a 9-inch round cake pan."", ""Whisk together flour, baking powder, baking soda, and salt and set aside."", ""In a larger bowl, beat butter and 2/3 cup sugar with an electric mixer at medium-high speed until pale and fluffy, then beat in vanilla & almond extract and the zest. Add egg and beat well."", ""At low speed, mix in flour mixture in three batches, alternating with buttermilk, beginning and ending with flour, and mixing until just combined. Spoon batter into cake pan, smoothing top. Scatter raspberries evenly over top and sprinkle with remaining 1 1/2 tablespoons sugar and sliced almonds."", ""Bake until cake is golden and a wooden pick inserted into center comes out clean, 20 to 25 minutes. Cool in pan 10 minutes, then turn out onto a rack and cool to warm, 10 to 15 minutes more. Invert onto a plate. Or if your like me cool it just long enough to take your pictures and serve it straight from the pan.""]",www.food.com/recipe/raspberry-almond-buttermilk-cake-504747,Gathered,"[""flour"", ""baking powder"", ""baking soda"", ""salt"", ""butter"", ""sugar"", ""vanilla"", ""almond extract"", ""lemon zest"", ""egg"", ""buttermilk"", ""fresh raspberry"", ""sugar"", ""almonds""]"
968421,Buttermilk-Rhubarb Coffee Cake,"[""1 1/2 cups chopped rhubarb (1/4-inch pieces)"", ""3 tablespoons sugar"", ""1/2 cup butter, softened"", ""2/3 cup sugar"", ""2 large eggs"", ""1 teaspoon vanilla"", ""1 1/2 cups unbleached flour"", ""1/2 teaspoon salt"", ""1 teaspoon baking powder"", ""1/8 teaspoon baking soda"", ""1/2 cup buttermilk"", ""Topping"", ""2 tablespoons brown sugar"", ""1/2 teaspoon cinnamon""]","[""Preheat oven to 350\u00b0 (325\u00b0 if you're using a glass pan). Place rhubarb in a bowl and sprinkle with sugar. Let stand while preparing the batter."", ""Spray an 8-inch baking pan with nonstick spray."", ""Cream together the butter and sugar in an electric mixer, until fluffy. Add the eggs, one at a time, beating well after each addition. Stir in the vanilla."", ""In another bowl, mix together the dry ingredients until uniformly blended. Add the dry ingredients to the butter mixture, alternating with the buttermilk. Stir thoroughly, but minimally, until combined, don't overmix."", ""Fold in the rhubarb and transfer the batter to the prepared pan. The batter will be stiff and you'll have to work with it a little, spreading it in the pan. Don't worry if it doesn't look completely uniform in the pan."", ""Mix together the brown sugar and cinnamon and sprinkle on top of the batter."", ""Bake 25 minutes, or until a toothpick inserted all the way into the center comes out clean."", ""Serve warm or at room temperature.""]",www.food.com/recipe/buttermilk-rhubarb-coffee-cake-299015,Gathered,"[""rhubarb"", ""sugar"", ""butter"", ""sugar"", ""eggs"", ""vanilla"", ""flour"", ""salt"", ""baking powder"", ""baking soda"", ""buttermilk"", ""Topping"", ""brown sugar"", ""cinnamon""]"
972284,Rhubarb Lunar Cake,"[""Batter"", ""1/2 cup butter or 1/2 cup margarine"", ""1 1/2 cups sugar"", ""1 egg"", ""1 teaspoon vanilla"", ""2 cups sifted all-purpose flour"", ""1 teaspoon baking soda"", ""1/2 teaspoon salt"", ""1 cup buttermilk"", ""2 cups rhubarb, cut in 1/2 inch pieces"", ""1 tablespoon flour"", ""Topping"", ""1/4 cup butter or 1/4 cup margarine"", ""2 teaspoons cinnamon"", ""1 cup firmly packed brown sugar""]","[""Batter: Cream together butter and sugar until smooth and creamy."", ""Add egg and vanilla."", ""Sift together dry ingredients and add to butter and sugar mixture 1/3 at a time, along with buttermilk."", ""Toss rhubarb with 1 tbsp flour and fold into batter."", ""Spoon batter into a greased 9 x 13 inch cake pan and smooth the surface."", ""Topping: Blend together topping ingredients and sprinkle evenly over batter."", ""Bake at 350F for 45 minutes or until cake has risen, browned and comes away from the edges, and skewer (or toothpick) inserted in the centre comes out clean.""]",www.food.com/recipe/rhubarb-lunar-cake-65693,Gathered,"[""Batter"", ""butter"", ""sugar"", ""egg"", ""vanilla"", ""flour"", ""baking soda"", ""salt"", ""buttermilk"", ""rhubarb"", ""flour"", ""Topping"", ""butter"", ""cinnamon"", ""brown sugar""]"
976199,Vera'S Rhubarb Cake,"[""1/2 cup shortening"", ""1 1/2 cups sugar"", ""1 egg"", ""1 teaspoon vanilla"", ""2 cups flour"", ""1 teaspoon baking soda"", ""1/2 teaspoon salt"", ""1 cup buttermilk"", ""2 1/2 cups rhubarb (1/2-inch pieces)"", ""1 tablespoon flour"", ""Topping"", ""1/2 cup butter (softened)"", ""2 teaspoons cinnamon"", ""1 cup packed brown sugar""]","[""Method: Preheat oven to 350."", ""Cream shortening and sugar."", ""Beat in egg and vanilla."", ""Sift together soda,salt and flour, and add to creamed mixture alternately with buttermilk."", ""Toss rhubarb with the tbsp of flour and mix gently into batter."", ""Spoon into 9x13 pan and smooth surface."", ""Topping: Combine all ingredients and sprinkle over batter."", ""Bake for 50- 60 minutes.""]",www.food.com/recipe/veras-rhubarb-cake-18085,Gathered,"[""shortening"", ""sugar"", ""egg"", ""vanilla"", ""flour"", ""baking soda"", ""salt"", ""buttermilk"", ""rhubarb"", ""flour"", ""Topping"", ""butter"", ""cinnamon"", ""brown sugar""]"
976426,Rhubarb Muffins,"[""1 1/4 cups brown sugar"", ""1/2 cup salad oil"", ""1 egg"", ""2 teaspoons vanilla"", ""1 cup buttermilk"", ""1 1/2 cups chopped rhubarb"", ""1/2 cup chopped nuts"", ""2 1/2 cups flour"", ""1 teaspoon baking powder"", ""1 teaspoon baking soda"", ""1/2 teaspoon salt"", ""Topping"", ""1/3 cup sugar"", ""1 1/2 teaspoons cinnamon"", ""1 tablespoon melted butter""]","[""In large bowl mix brown sugar, oil, egg, and vanilla."", ""Add buttermilk, rhubarb and nuts, stirring completely."", ""In separate bowl mix remaining ingredients. Stir until moistened."", ""Topping:."", ""Combine and mix until crumbly and sprinkle over muffin dough. Press inches."", ""Bake at 400 for twenty minutes.""]",www.food.com/recipe/rhubarb-muffins-262284,Gathered,"[""brown sugar"", ""salad oil"", ""egg"", ""vanilla"", ""buttermilk"", ""rhubarb"", ""nuts"", ""flour"", ""baking powder"", ""baking soda"", ""salt"", ""Topping"", ""sugar"", ""cinnamon"", ""butter""]"
980643,Indian Chai Latte Muffins,"[""2 cups all-purpose flour"", ""1/2 cup dark brown sugar, packed"", ""2 1/2 teaspoons baking powder"", ""1/2 teaspoon ground ginger"", ""1/2 teaspoon ground cardamom"", ""1/4 teaspoon ground allspice"", ""1/2 teaspoon salt"", ""1 cup buttermilk"", ""1/2 cup butter, melted and cooled"", ""1 egg"", ""1 teaspoon vanilla"", ""1 cup white chocolate chips"", ""4 ounces cream cheese, softened"", ""1/4 teaspoon vanilla"", ""2 tablespoons sugar""]","[""Preheat oven to 375."", ""Grease 12 muffin cups or use butter-flavored spray."", ""Mix all dry ingredients together, add milk, melted butter, egg, and vanilla, mix well. Stir in white chocolate chips."", ""Spoon into 12 muffin tins."", ""Mix cream cheese, vanilla and sugar together until smooth. Using the back of a spoon make an indentation in the top of each muffin and add a heaping teaspoon of cream cheese mixture into the indentation."", ""Bake at 375 for 18 to 25 minutes, until edges of muffins begin to turn golden brown. Test with toothpick in side of muffin away from cream cheese filling. Remove and cool."", ""If using mini-muffin cups, bake 15-18 minutes.""]",www.food.com/recipe/indian-chai-latte-muffins-362311,Gathered,"[""flour"", ""dark brown sugar"", ""baking powder"", ""ground ginger"", ""ground cardamom"", ""ground allspice"", ""salt"", ""buttermilk"", ""butter"", ""egg"", ""vanilla"", ""white chocolate chips"", ""cream cheese"", ""vanilla"", ""sugar""]"
981483,Mocha Frosted Drops,"[""1/2 cup shortening"", ""2 ounces unsweetened chocolate squares"", ""1 cup brown sugar"", ""1 egg"", ""1 teaspoon vanilla"", ""1/2 cup buttermilk"", ""1 1/2 cups flour"", ""1/2 teaspoon baking powder"", ""1/2 teaspoon baking soda"", ""1/4 teaspoon salt"", ""1/2 cup walnuts"", ""1 (6 ounce) package semi-sweet chocolate chips (1 cup)"", ""Frosting"", ""1/4 cup butter"", ""2 tablespoons cocoa"", ""2 teaspoons instant coffee"", ""1 dash salt"", ""2 1/2 cups confectioners' sugar"", ""1 1/2 teaspoons vanilla"", ""milk"", ""walnut halves (optional)""]","[""Melt shortening and chocolate over low heat, stirring. Cool 10 minutes. Stir in brown sugar. Beat in egg, vanilla and buttermilk."", ""Mix flour, baking powder and soda, and salt. Add to chocolate mixture. Stir in nuts and chocolate chips."", ""Drop from teaspoon on greased cookie sheet. Bake at 375 for about 10 minutes. Remove from sheet and cool."", ""Frost with Mocha Frosting. Top with a walnut half if desired."", ""Mocha Frosting: Cream butter, cocoa, instant coffee and dash salt. Beat in confectioner's sugar, vanilla and enough milk so that it's spreadable.""]",www.food.com/recipe/mocha-frosted-drops-183770,Gathered,"[""shortening"", ""chocolate squares"", ""brown sugar"", ""egg"", ""vanilla"", ""buttermilk"", ""flour"", ""baking powder"", ""baking soda"", ""salt"", ""walnuts"", ""semi-sweet chocolate chips"", ""Frosting"", ""butter"", ""cocoa"", ""instant coffee"", ""salt"", ""sugar"", ""vanilla"", ""milk"", ""walnut halves""]"
984992,Rhubarb Bread,"[""1 1/2 cups brown sugar"", ""3/4 cup vegetable oil"", ""1 egg"", ""2 1/2 cups all-purpose flour"", ""1 cup buttermilk"", ""1 teaspoon salt"", ""1 teaspoon baking soda"", ""1 teaspoon ground cinnamon"", ""1 teaspoon vanilla"", ""2 1/2 cups rhubarb, chopped"", ""1/2 cup walnuts (optional) or 1/2 cup pecans (optional)"", ""1/2 cup sugar"", ""1 tablespoon butter""]","[""Preaheat oven to 325\u00b0F In a medium bowl, mix brown sugar, oil and egg together. Then add flour, milk, salt, baking soda, cinnamon and vanilla. Fold in rhubarb (and nuts, if using)."", ""Place in 2 greased 9 x 5\"" loaf pans."", ""Combine sugar and butter and glaze over top of loaves."", ""Bake for 1 hour.""]",www.food.com/recipe/rhubarb-bread-440136,Gathered,"[""brown sugar"", ""vegetable oil"", ""egg"", ""flour"", ""buttermilk"", ""salt"", ""baking soda"", ""ground cinnamon"", ""vanilla"", ""rhubarb"", ""walnuts"", ""sugar"", ""butter""]"
985654,Pumpkin Donuts With Pumpkin Cream Cheese Frosting,"[""For Donuts"", ""3 1/2 cups flour"", ""4 teaspoons baking powder"", ""1 teaspoon salt"", ""1 teaspoon cinnamon"", ""1/2 teaspoon ground ginger"", ""1/2 teaspoon baking soda"", ""1/4 teaspoon ground nutmeg"", ""1/8 teaspoon ground cloves"", ""1 cup sugar"", ""3 tablespoons unsalted butter, room temperature"", ""1 egg"", ""2 egg yolks"", ""1 teaspoon vanilla extract"", ""1/2 cup buttermilk, plus"", ""1 tablespoon buttermilk"", ""1 cup pumpkin puree"", ""canola oil (for frying)"", ""For Pumpkin Frosting"", ""8 ounces cream cheese, softened"", ""1/4 cup pumpkin puree"", ""1/4 cup butter, softened"", ""1 tablespoon orange juice"", ""1 teaspoon grated orange zest"", ""1/2 teaspoon vanilla"", ""4 cups confectioners' sugar, sifted""]","[""make the donuts: whisk together the flour, baking powder, salt, cinnamon, ginger, baking soda, nutmeg and cloves. beat sugar and butter in large bowl until blended (mixture will be grainy). beat in egg, then yolks and vanilla. gradually beat in buttermilk; fold in pumpkin in 4 additions. cover with plastic and chill 3 hours."", ""sprinkle a baking sheet lightly with flour. press out part of the dough on floured surface to 1/2 to 2/3 inch thickness. using 2 1/2 inch diameter round cutter, cut out dough rounds until all dough is used. using 1-inch-diameter round cutter, cut out center of each dough round to make doughnuts and doughnut holes. toward the end of making the donuts, i simply formed them into rough patties by hand and poked out the hole with my thumb."", ""place a cooling rack on a baking sheet (for draining the donuts). pour oil into large deep skillet to depth of 1 1/2 inches (or fire up your deep fryer). attach deep-fry thermometer and heat oil to 365 F to 370\u00b0F fry doughnut holes in batches until golden brown, turning occasionally, about 2 minutes. using a slotted spoon, transfer to the cooling rack to drain. fry doughnuts, 2 or 3 at a time, until golden brown, adjusting heat to maintain temperature, about 1 minute per side. Using slotted spoon, transfer doughnuts to cooling rack. give the donuts and holes a pat with a paper towel to remove excess oil."", ""make the frosting: soften the cream cheese in the microwave for about 30 seconds. blend in the pumpkin, butter, orange juice, zest and vanilla in a mixer or by hand. add the sugar and beat until light and creamy. spread on donuts or just dip the donuts and holes right into the frosting as you eat.""]",www.food.com/recipe/pumpkin-donuts-with-pumpkin-cream-cheese-frosting-336470,Gathered,"[""Donuts"", ""flour"", ""baking powder"", ""salt"", ""cinnamon"", ""ground ginger"", ""baking soda"", ""ground nutmeg"", ""ground cloves"", ""sugar"", ""unsalted butter"", ""egg"", ""egg yolks"", ""vanilla"", ""buttermilk"", ""buttermilk"", ""pumpkin puree"", ""canola oil"", ""Frosting"", ""cream cheese"", ""pumpkin puree"", ""butter"", ""orange juice"", ""orange zest"", ""vanilla"", ""sugar""]"
987363,Apple-Chocolate Chip Muffins,"[""2 cups flour"", ""1/2 teaspoon salt"", ""1/2 teaspoon baking soda"", ""1/2 teaspoon baking powder"", ""1/2 teaspoon cinnamon"", ""1/4 teaspoon nutmeg"", ""1/2 cup butter"", ""2/3 cup sugar"", ""1 egg"", ""1 teaspoon vanilla"", ""2 tablespoons buttermilk"", ""1 cup apple"", ""1/2 cup nuts"", ""1 cup chocolate chips""]","[""In a small bowl, combine flour, salt, b. powder, baking soda, cinnamon, and nutmeg and set aside."", ""In a large bowl, beat butter and sugar until creamy. Add eggs and vanilla.\tAdd flour mixture and buttermilk gradually. Stir in other ingredients."", ""Bake 15-20 minutes at 350.""]",www.food.com/recipe/apple-chocolate-chip-muffins-284470,Gathered,"[""flour"", ""salt"", ""baking soda"", ""baking powder"", ""cinnamon"", ""nutmeg"", ""butter"", ""sugar"", ""egg"", ""vanilla"", ""buttermilk"", ""apple"", ""nuts"", ""chocolate chips""]"
994096,Rhubarb Bread,"[""3 cups sugar"", ""1 1/3 cups oil"", ""2 eggs"", ""2 cups buttermilk"", ""2 teaspoons salt"", ""2 teaspoons baking soda"", ""2 teaspoons vanilla"", ""5 cups flour"", ""3 cups rhubarb, diced"", ""Topping"", ""1 1/2 cups sugar"", ""3 tablespoons butter, melted"", ""3 teaspoons cinnamon""]","[""Beat together the following ingredients: sugar, oil, eggs, buttermilk, salt, baking soda, vanilla, flour. Add rhubarb."", ""Put 1/2 dough in 3 loaf pans (don't overfill!)."", ""Add half of topping."", ""Add other half of dough, then the rest of the topping."", ""Bake at 350 for 1 1/2 hours.""]",www.food.com/recipe/rhubarb-bread-298820,Gathered,"[""sugar"", ""oil"", ""eggs"", ""buttermilk"", ""salt"", ""baking soda"", ""vanilla"", ""flour"", ""rhubarb"", ""Topping"", ""sugar"", ""butter"", ""cinnamon""]"
998121,Buttermilk Scones,"[""2 cups wheat flour (white flour would also work)"", ""1 1/2 teaspoons baking powder"", ""1/2 teaspoon baking soda"", ""1/4 teaspoon salt"", ""8 tablespoons butter, chilled (stick it in the freezer while you're whipping everything else up)"", ""1/2 cup buttermilk (or milk and vinegar substituion above)"", ""1 egg"", ""1 1/2 teaspoons vanilla or 1 1/2 teaspoons almond extract"", ""2/3 cup dried fruit (chopped into bite-sized pieces as needed)"", ""buttermilk, for brushing"", ""sugar, for dusting""]","[""Combine flour, baking powder, soda, and salt in a medium bowl; gently whisk together till well combined."", ""Cut in butter with two knives till mixture resembles small floury peas. Stir in dried fruit till it's well coated with flour (this prevent clumps of fruit from forming in the scone)."", ""Combine buttermilk, egg, and vanilla; whisk till well blended. Stir into dry ingredients, stirring gently till soft dough forms."", ""Turn dough out onto parchment lined baking sheet and form into a 8-inch round. (May also form into individual scones if you like)."", ""Brush top of scone with a little milk and sprinkle lightly with granulated sugar. (If you sprinkle heavily, a sugary crust will form)."", ""Bake scone at 375 deg. F. for 12-15 minutes, till scone tests done. Let cool a couple minutes before serving.""]",www.food.com/recipe/buttermilk-scones-276916,Gathered,"[""flour"", ""baking powder"", ""baking soda"", ""salt"", ""butter"", ""buttermilk"", ""egg"", ""vanilla"", ""dried fruit"", ""buttermilk"", ""sugar""]"
1005246,Rhubarb Nut Bread,"[""1 1/2 cups firmly packed brown sugar"", ""2/3 cup vegetable oil"", ""1 egg"", ""1 cup buttermilk or 1 cup sour milk"", ""1 teaspoon baking soda"", ""1 teaspoon salt"", ""1 teaspoon vanilla"", ""2 1/2 cups flour"", ""1 1/2 cups raw rhubarb, chopped"", ""1/2 cup pecans or 1/2 cup walnuts"", ""1/3 cup white sugar"", ""1 tablespoon melted butter""]","[""Heat oven to 325F, lightly butter and flour two 8\""x4\""x3\"" loaf pans Combine the brown sugar, veggie oil and the egg."", ""combine the buttermilk (sour milk), baking soda, salt& vanilla."", ""Add the milk mixture to the sugar mixture alternately with the flour, beating well after each addition Fold in the rhubarb& the nuts."", ""Turn batter into the two loaf pans."", ""Sprinkle with the melted butter and sugar."", ""Bake for 45 minutes or until done."", ""Turn out on a wire rack to cool.""]",www.food.com/recipe/rhubarb-nut-bread-31005,Gathered,"[""brown sugar"", ""vegetable oil"", ""egg"", ""buttermilk"", ""baking soda"", ""salt"", ""vanilla"", ""flour"", ""rhubarb"", ""pecans"", ""white sugar"", ""butter""]"
1007025,Granola Scones,"[""1/2 cup oatmeal, slow-cooking"", ""1 egg, beaten"", ""2/3 cup buttermilk"", ""1 teaspoon vanilla"", ""3/4 cup flour, unbleached all-purpose"", ""1/2 cup whole wheat flour"", ""1/2 cup flax seed, ground"", ""2 tablespoons granulated sugar"", ""2 teaspoons baking powder"", ""1/2 teaspoon baking soda"", ""1/2 teaspoon cinnamon"", ""1/2 teaspoon salt"", ""1/3 cup butter or 1/3 cup margarine"", ""1/2 cup currants"", ""1/4 cup natural almonds, sliced"", ""2 tablespoons sunflower seeds, raw"", ""1 egg white"", ""1 tablespoon sliced almonds"", ""1 tablespoon sunflower seeds"", ""1 tablespoon oatmeal"", ""1 teaspoon flax seed, whole""]","[""Preheat oven to 375\u00b0F."", ""In a large bowl, combine oatmeal, egg, buttermilk, and vanilla. let stand for 5 minutes."", ""In large bowl, combine flours, ground flaxseed, sugar, baking powder , baking soda, cinnamon, and salt."", ""Cut in butter. Rub lightly with fingertips until mixture resembles coarse crumbs. Stir in currants, almonds and sunflower seeds."", ""Stir buttermilk mixture into dry ingredients and mix just until moistened."", ""Turn dough onto floured surface and knead six to eight times. Dough will be sticky."", ""Flatten into a 8-inch round cake pan, Whisk egg white, and 1 tablespoons water."", ""Brush over dough. Sprinkle with almonds, atmeal, sunflowere seeds, and flaxseed, Score dough into 8 wedges. Bake for 25-30 minutes or until wooden pick inserted in center comes out clean. Let cool in pan for 5 minutes."", ""Remove from pan and cut into 8 wedges. Serve warm.""]",www.food.com/recipe/granola-scones-380236,Gathered,"[""egg"", ""buttermilk"", ""vanilla"", ""flour"", ""whole wheat flour"", ""flax seed"", ""sugar"", ""baking powder"", ""baking soda"", ""cinnamon"", ""salt"", ""butter"", ""currants"", ""natural almonds"", ""sunflower seeds"", ""egg"", ""almonds"", ""sunflower seeds"", ""oatmeal"", ""flax seed""]"
1007918,Heath Bar Torte,"[""1 cup sugar"", ""1 cup brown sugar"", ""1/2 cup butter"", ""2 cups flour"", ""1/2 teaspoon salt"", ""1 egg"", ""1 cup buttermilk"", ""1 teaspoon vanilla"", ""1 teaspoon baking soda"", ""6 Heath candy bars, crushed""]","[""Mix first 5 ingredients like a pie crust. Combine soda and buttermilk. Add egg and vanilla."", ""Mix in dry ingredients."", ""Put in a 9x13 pan. Place Heath bars on top."", ""Bake at 350 degrees.""]",www.food.com/recipe/heath-bar-torte-26622,Gathered,"[""sugar"", ""brown sugar"", ""butter"", ""flour"", ""salt"", ""egg"", ""buttermilk"", ""vanilla"", ""baking soda"", ""candy bars""]"
1008407,Rhubarb Brown Sugar Loaf,"[""2 cups flour"", ""1 teaspoon baking soda"", ""1/2 teaspoon salt"", ""1 cup sugar"", ""1/4 cup brown sugar, packed"", ""1 stick Parkay margarine, melted"", ""1 egg"", ""1 cup buttermilk"", ""1 teaspoon vanilla"", ""2 cups rhubarb, peeled and cut small"", ""TOPPING"", ""1/2 cup brown sugar, packed"", ""1 teaspoon cinnamon"", ""1 tablespoon Parkay margarine, melted""]","[""Preheat oven to 350. Spray 2 loaf pans (I use stoneware or glass) with non-stick spray and line bottoms with parchment paper, if you have it."", ""Combine flour, soda, and salt and set aside."", ""In a large bowl, blend cup of sugar, 1/4 cup brown sugar, and melted stick of maragrine. Whisk in the egg, buttermilk, and vanilla. Stir in dry ingredients and rhubarb JUST UNTIL flour is incorporated--no more!"", ""Pour batter into the loaf pans."", ""Mix topping ingredients and spoon evenly as possible over both loaves."", ""Bake at 350 for 40-45 minutes, or until a toothpick inserted in the center comes out clean."", ""Allow loaves to cool 10 minutes before removing. Allow to cool out of pans as well.""]",www.food.com/recipe/rhubarb-brown-sugar-loaf-311950,Gathered,"[""flour"", ""baking soda"", ""salt"", ""sugar"", ""brown sugar"", ""Parkay margarine"", ""egg"", ""buttermilk"", ""vanilla"", ""rhubarb"", ""TOPPING"", ""brown sugar"", ""cinnamon"", ""Parkay margarine""]"
1014030,Chocolate Chocolate Chip Muffins,"[""6 ounces semi-sweet chocolate chips"", ""1/3 cup butter"", ""3/4 cup buttermilk"", ""1/2 cup sugar"", ""1 egg, lightly beaten"", ""1 1/2 teaspoons pure vanilla extract"", ""1 2/3 cups flour"", ""1 teaspoon baking soda"", ""1/2 teaspoon salt"", ""6 ounces milk chocolate chips""]","[""Preheat oven to 400F."", ""Place semi-sweet chocolate chips and butter in a microwave safe bowl."", ""Microwave on medium (50% power) for 1 minute, and stir; microwave at additional 30 second intervals, stirring each time, until chocolate is melted, but do not scorch (cooking time may vary with different ovens, but about 3 minutes total)."", ""Allow chocolate to cool about 10 minutes."", ""Stir chocolate together with buttermilk, sugar, egg, and vanilla."", ""Separately, sift together the flour, baking soda, and salt."", ""Add the chocolate mixture to the center of the flour mix, stirring just until combined."", ""Fold in the milk chocolate chips."", ""Place batter into a greased 12-cup muffin tin 2/3 full."", ""Bake 20-23 minutes or until a toothpick can be removed clean."", ""Cool for 5 minutes in the pan, then finish cooling on a wire rack.""]",www.food.com/recipe/chocolate-chocolate-chip-muffins-82772,Gathered,"[""semi-sweet chocolate chips"", ""butter"", ""buttermilk"", ""sugar"", ""egg"", ""vanilla"", ""flour"", ""baking soda"", ""salt"", ""chocolate chips""]"
1017287,1880 Chocolate Spice Cake (With Icing),"[""1 cup sugar"", ""1/2 cup butter"", ""1 egg"", ""1 1/2 cups flour"", ""1/2 teaspoon salt"", ""1 tablespoon cocoa"", ""1 1/2 teaspoons cinnamon"", ""1 teaspoon clove"", ""1 teaspoon nutmeg"", ""1 cup buttermilk"", ""1 teaspoon baking soda"", ""1 teaspoon vanilla""]","[""Preheat oven to 350\u00b0F"", ""Dissolve baking soda in the buttermilk and set aside."", ""Cream sugar, butter, and buttermilk together."", ""Sift dry ingredients together."", ""Add alternately with buttermilk, beating well after each addition."", ""Pour into greased and floured 9x13\"" pan."", ""Bake 25-30 minutes. Spread icing over hot cake."", ""For icing; Mix 5 T. butter, 7 T. brown sugar, 5 T. cream, and 1/2 cup cocoa together."", ""Spread over hot cake and return to oven and broil until icing bubbles and is light brown on cake.""]",www.food.com/recipe/1880-chocolate-spice-cake-with-icing-357228,Gathered,"[""sugar"", ""butter"", ""egg"", ""flour"", ""salt"", ""cocoa"", ""cinnamon"", ""clove"", ""nutmeg"", ""buttermilk"", ""baking soda"", ""vanilla""]"
1020333,Cream Cheese Refrigerator Cookies,"[""1/2 cup butter"", ""1 cup sugar"", ""1 well beaten egg"", ""3 ounces cream cheese, softened"", ""2 tablespoons buttermilk or 2 tablespoons yogurt"", ""1 teaspoon vanilla"", ""2 cups sifted flour"", ""1/8 teaspoon baking soda"", ""1/2 teaspoon baking powder (double acting)"", ""1/2 teaspoon salt"", ""cinnamon sugar, as needed""]","[""Blend until creamy the butter, sugar and egg. Beat cream cheese into this mixture, mixing in the buttermilk and vanilla also."", ""Beat in the flour, baking soda, baking powder and salt."", ""After being chilled (a couple of hours or so) this dough may be rolled to paper thinness, cut into shapes and baked."", ""Sprinkle before baking with sugar and cinnamon. Preheat oven to 350\u00b0F and bake from 12 to 15 minutes.""]",www.food.com/recipe/cream-cheese-refrigerator-cookies-185693,Gathered,"[""butter"", ""sugar"", ""egg"", ""cream cheese"", ""buttermilk"", ""vanilla"", ""flour"", ""baking soda"", ""baking powder"", ""salt"", ""cinnamon sugar""]"
1022261,Sweet Potato Cinnamon Rolls,"[""Dough"", ""1/2 cup warm water"", ""1 cup mashed sweet potato"", ""1 egg"", ""1 cup buttermilk"", ""1/2 cup sugar"", ""1/4 cup melted butter"", ""5 1/2 cups flour"", ""2 tablespoons grated orange rind"", ""2 1/4 ounces yeast"", ""1 1/2 teaspoons salt"", ""1 teaspoon baking soda"", ""Filling"", ""3/4 cup melted butter"", ""2 cups packed brown sugar"", ""2 -4 tablespoons cinnamon"", ""1 cup chopped pecans (optional)"", ""Glaze"", ""1 cup packed brown sugar"", ""1 teaspoon cinnamon"", ""1/2 cup light corn syrup"", ""1/4 cup butter"", ""1/2 cup heavy cream"", ""1 teaspoon vanilla""]","[""Dough: (Using ABM)."", ""Make sure the potatoes are smoothly mashed. Combine all ingredients, in order listed, into pan of bread maker. Run dough cycle."", ""(By Hand)."", ""Mix warm water, yeast, and 1 tsp sugar until yeast is dissolved. Let sit for 5 minutes."", ""Stir in egg, buttermilk, sugar and melted butter."", ""Mix baking soda into 1 cup flour. Stir mixture into liquids."", ""Stir in orange zest."", ""Stir in 3 1/2 cups flour."", ""Sprinkle remaining 1/2 cup flour over kneading surface. Turn dough out onto surface and knead 5-10 minutes until dough is smooth and elastic. It should still be slightly sticky."", ""Put dough in bowl, spray top with cooking spray and place in warm spot to rise until about doubled."", ""While dough is rising, make filling by combining the ingredients."", ""When dough is through rising, or dough cycle is done, turn dough out onto lightly floured surface. Roll dough out into 10 x 18 inch rectangle."", ""Spread filling over dough, leaving a 1 inch border along the longer sides. Roll up dough, jelly-roll style. Cut into 1 1/2 inch slices (no thicker than that) and place slices into well greased baking pan."", ""Spray top of rolls with cooking spray. If you wish, you can cover the rolls with plastic wrap and put into refrigerator to rise overnight, or place into warm spot to rise until doubled, about 30 minutes."", ""Bake rolls at 400 for 10 minutes."", ""While baking, make glaze: Stir together cinnamon, sugar, corn syrup and butter in saucepan over medium heat. Bring to a light boil, stirring constantly. Remove from heat and stir in cream and vanilla."", ""After 10 minutes, remove rolls from oven and slowly drizzle glaze over rolls, allowing it to soak into the rolls."", ""Return rolls to oven and bake for another 10-15 minutes, or until lightly browned."", ""Remove from oven and invert onto foil lined baking sheet. Remove baking pan and invert rolls again onto serving platter."", ""Let cool for about 20 minutes, then serve warm.""]",www.food.com/recipe/sweet-potato-cinnamon-rolls-205768,Gathered,"[""Dough"", ""warm water"", ""mashed sweet potato"", ""egg"", ""buttermilk"", ""sugar"", ""butter"", ""flour"", ""orange rind"", ""yeast"", ""salt"", ""baking soda"", ""Filling"", ""butter"", ""brown sugar"", ""pecans"", ""brown sugar"", ""cinnamon"", ""light corn syrup"", ""butter"", ""heavy cream"", ""vanilla""]"
